Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.brake,driver_demands.throttle
0.257602179,1.924348584,-0.004401299,0.031367274,0.02798596,-1.48778E-06,0.108522235,4366.483387,0,100
0.247147674,1.923788591,-0.001300367,0.030890539,0.026789031,-1.84325E-06,0.107164264,4368.44187,0,100
0.237160844,1.923224271,0.001566839,0.030251642,0.025300531,-2.19889E-06,0.105783537,4370.401644,0,100
0.227617413,1.922655471,0.004193621,0.029464115,0.023532253,-2.5475E-06,0.104380834,4372.362468,0,100
0.218492364,1.922082257,0.006575854,0.028528681,0.021516405,-2.60728E-06,0.102956813,4374.324112,0,100
0.209757265,1.921504828,0.008712107,0.027449284,0.019281382,-2.40083E-06,0.101512127,4376.286349,0,100
0.201381333,1.920923335,0.010603397,0.02622455,0.016855436,-2.18677E-06,0.100047408,4378.248956,0,100
0.193408896,1.920337474,0.012252148,0.025928393,0.014344038,-1.97261E-06,0.098563195,4380.211718,0,100
0.186529889,1.919746355,0.013664284,0.026295335,0.012209567,-1.75836E-06,0.097059935,4382.17443,0,100
0.180444406,1.91915071,0.014845998,0.026590656,0.010312347,-1.54402E-06,0.095538059,4384.136902,0,100
0.174842073,1.918549662,0.015803964,0.026787997,0.00849095,-1.32957E-06,0.09399791,4386.098964,0,100
0.169576654,1.917943581,0.016546737,0.026651626,0.006685777,-1.11504E-06,0.092439786,4388.060467,0,100
0.164556812,1.917333208,0.017083812,0.02604016,0.004868423,-9.00405E-07,0.090863955,4390.021276,0,100
0.159719405,1.916719116,0.017425661,0.024886731,0.003024793,-6.85679E-07,0.089270684,4391.981268,0,100
0.155020202,1.916101484,0.017583687,0.023200521,0.001151505,-4.7086E-07,0.087660206,4393.940328,0,100
0.150426593,1.915480277,0.017570093,0.02103878,-0.000752434,-3.17277E-07,0.086032745,4395.898351,0,100
